system:index,countyears,cropland_mode,first,longitude,system:indexviejuno,.geo
2008_1620,6.0,24.0,23,-101.00697478827686,57706.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.0069748,44.4740177]}"
2008_1942,5.0,24.0,24,-101.48640565541145,69981.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.4864057,44.9103294]}"
2008_383,5.0,24.0,24,-101.93915655860769,13503.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.9391566,44.3939778]}"
2008_77,9.0,24.0,24,-102.25284825582223,2569.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2528483,44.7952552]}"
2008_697,5.0,24.0,23,-102.6802666680063,24451.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.6802667,45.4250641]}"
2008_1490,9.0,24.0,24,-102.27710276849345,53649.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2771028,44.8160063]}"
2008_268,8.0,24.0,176,-102.27548580098204,9219.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2754858,44.6640113]}"
2008_432,9.0,24.0,24,-102.27925872517534,15546.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2792587,44.6200837]}"
2008_428,5.0,24.0,24,-103.35885403363018,15284.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.358854,44.9593774]}"
2008_1358,5.0,24.0,24,-105.0343018700415,48823.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-105.0343019,45.3110678]}"
2008_6,5.0,24.0,24,-105.01516775448975,161.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-105.0151678,45.5697826]}"
2008_370,5.0,24.0,24,-107.6626825598468,13068.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-107.6626826,45.7382168]}"
2008_774,5.0,24.0,24,-107.701759274706,27643.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-107.7017593,45.7339049]}"
2008_545,7.0,24.0,24,-107.75754465384983,19262.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-107.7575447,45.7983141]}"
2008_1507,5.0,24.0,61,-107.69879483426841,54349.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-107.6987948,45.8912897]}"
2008_786,5.0,24.0,61,-107.75646667550889,27976.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-107.7564667,46.3550899]}"
2008_429,5.0,24.0,176,-107.96640295740762,15308.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-107.966403,46.9547153]}"
2008_1341,5.0,24.0,61,-106.00259591479393,48232.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-106.0025959,46.7127092]}"
2008_341,5.0,24.0,24,-110.0444757041613,11993.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-110.0444757,47.9550792]}"
